Nama SPKLU,Latitude,Longitude
DIRLANTAS Satuan PJR POLDA SUMATERA UTARA,3.5234089,98.7769616
PLN UPDK JAMBI,-1.5882215,103.61938
SPKLU ASTON LAMPUNG CITY HOTEL,-5.4362902,105.2838607
SPKLU BANK SUMUT IMAM BONJOL,3.5836948,98.6742223
SPKLU Cafe Monocsky,0.5787506,101.4679665
SPKLU CityView Medan,3.5599162,98.6832024
SPKLU HOTEL BUNDA BUKITTINGGI,-1.3542746,99.8582799
SPKLU HOTEL EMERALD MEDAN,3.6015005,98.6674666
SPKLU HOTEL HOLIDAY INN LAMPUNG BUKIT RANDU,-5.4112354,105.2609673
SPKLU HOTEL MARRIOTT RESORT LAMPUNG,-5.5171087,105.2581009
SPKLU HOTEL MERCURE BENGKULU,-3.8010417,102.2680706
SPKLU HOTEL NIAGARA PARAPAT,2.6614449,98.9385716
SPKLU HOTEL SANTIKA LAHAT,-4.1581077,101.6213709
SPKLU HOTEL SIBAYAK BERASTAGI,2.4995354,96.7875906
SPKLU Hotel Prime Park,0.4733126,101.4527161
SPKLU Hotel Umega,-1.0218306,101.6002198
SPKLU IBI DARMAJAYA,-5.3479931,104.7972468
SPKLU KAMPUS UNAND 2 PYK,-0.231077,100.6374166
SPKLU KANTOR BUPATI PASAMAN,0.1404056,100.1643656
SPKLU KANTOR DINAS ESDM,-2.9755395,104.742882
SPKLU KANTOR GUBERNUR SUMSEL,-2.9755274,104.7383758
SPKLU KANTOR UP3 METRO,-5.1298035,105.3023266
SPKLU KAPEL KRUI,-5.1892094,103.9319157
SPKLU KOLAM RENANG KELOK SIKABU,-0.5997686,99.9919802
SPKLU KORDA ALUE BILIE,3.9880241,96.5163404
SPKLU Kantor ULP Talang Padang,-5.3551501,104.793062
SPKLU LA PIT STOP CAR WASH,-0.6844895,100.2866246
SPKLU LAMPUNG CITY MALL,-5.4436348,105.275364
SPKLU MALL BOEMI KEDATON,-5.38177,105.256772
SPKLU MALL PELAYANAN PUBLIK JAMBI,-1.6284293,103.6055414
SPKLU MASJID AL IHSAN PANGKALAN,0.0844825,100.7239474
SPKLU MASJID H. ALIUS,-0.9422963,100.607736
SPKLU MASJID RAYA NAYLUS SYAADAH,-0.8505311,100.3321615
SPKLU Mall Transmart Carrefour Bandar Lampung,-5.383467,105.2795997
SPKLU PELABUHAN BAKAUHENI,-5.8669109,105.7519542
SPKLU PLAZA ANDALAS,-0.9505872,100.3553541
SPKLU PLN BANDARA MINANG KABAU,-0.7887806,100.2796007
