Nama SPKLU,Alamat,Waktu Operasi,Jam Buka,Jarak,Konektor,Charging Slots,Ketersediaan,Timestamp
SPKLU PLN UP3 PADANGSIDIMPUAN,"Jl. Raja Inal Siregar No.11A, Batunadua Jae, Kec. Padangsidimpuan Batunadua, Kota Padang Sidempuan, Sumatera Utara 22733",Buka 24 Jam,5.00,338.10 km,2/2 Konektor Tersedia,"('30 kW', '22 kW')","(1, 1)",2025-05-15 10:17:19
SPKLU PLN ULP PANGKALAN BALAI,"Pangkalan Balai, Banyuasin III, Kab. Banyuasin, Sumatera Selatan",Buka 24 Jam,3.50,405.35 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:21:37
SPKLU (ARISTA POWER) BYD SERANG,"Jl. Raya Serang - Cilegon KM 3 No. 8-9, Kel. Drangong Kec. Taktakan, Serang, Banten",Buka 24 Jam,4.73,797.89 km,2/2 Konektor Tersedia,(),(),2025-05-15 11:06:02
SPKLU UJP Rest Area KM 45B Merak - Jakarta,"Jalan Tol Tangerang Merak KM 45, DS Pabuaran Kec. Jayanti Kab. Tangerang",Buka 24 Jam,4.59,823.45 km,5/5 Konektor Tersedia,"('160 kW', '160 kW', '60 kW', '60 kW', '22 kW')","(1, 1, 1, 1, 1)",2025-05-15 11:14:34
SPKLU DBROTHERS,"Jl. Tani No.20, Pasiran, Kec. Singkawang Bar., Kota Singkawang, Kalimantan Barat",Buka 24 Jam,5.00,819.78 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 11:13:20
SPKLU PASAR SARASWATI,"Sudimara Bar., Kota Tangerang, Banten",Buka 24 Jam,5.00,848.25 km,0/1 Konektor Tersedia,"('22 kW',)","(0,)",2025-05-15 11:47:12
SPKLU PLN KP RAO,"Jl. Kp. Jawa, Taruang Taruang, Kec. Rao, Kabupaten Pasaman, Sumatera Barat 26353",Buka 24 Jam,5.00,218.11 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:11:02
SPKLU PLN CAMBRIDGE CITY SQUARE MEDAN,"Jl. S. Parman No.217, Petisah Tengah, Kec. Medan Petisah, Kota Medan, Sumatera Utara 20152",Buka 24 Jam,4.71,557.88 km,2/2 Konektor Tersedia,"('100 kW', '100 kW')","(1, 1)",2025-05-15 10:44:07
SPKLU HOTEL NIAGARA PARAPAT,"Jl. Pembangunan No.1, Parapat, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Buka 24 Jam,4.00,459.78 km,1/1 Konektor Tersedia,"('22 kW',)","(1,)",2025-05-15 10:29:52
SPKLU PLN UP3 TANJUNG KARANG,"Jl. Diponegoro No.14, Gotong Royong, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35213",Buka 24 Jam,4.86,678.98 km,3/3 Konektor Tersedia,"('4 kW', '50 kW', '50 kW')","(1, 1, 1)",2025-05-15 10:54:40
SPKLU PLN RS SITI RAHMAH,"Jl. By Pass No.KM.15, Aie Pacah, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586",Buka 24 Jam,0.00,156.73 km,3/3 Konektor Tersedia,"('50 kW', '50 kW', '22 kW')","(1, 1, 1)",2025-05-15 10:03:03
