Charging Rate,p,k,service_rate,arrival_rate,s,average_charging_time
22,0.025,2,0.3497,0.0087,1,171.57
22,0.1667,3,0.3497,0.0583,2,171.57
22,0.3,2,0.3497,0.1049,1,171.57
50,0.05,3,0.7948,0.0397,2,75.49
22,0.2,2,0.3497,0.0699,1,171.57
4,0.0833,2,0.0636,0.0053,1,943.63
22,0.1111,2,0.3497,0.0389,1,171.57
22,0.025,3,0.3497,0.0087,2,171.57
22,0.1111,3,0.3497,0.0389,2,171.57
22,0.1538,2,0.3497,0.0538,1,171.57
7,0.025,2,0.1113,0.0028,1,539.22
50,0.1,3,0.7948,0.0795,2,75.49
22,0.5556,2,0.3497,0.1943,1,171.57
25,0.1,2,0.3974,0.0397,1,150.98
25,0.1111,2,0.3974,0.0442,1,150.98
100,0.4,3,1.5896,0.6358,2,37.75
50,0.0909,3,0.7948,0.0723,2,75.49
25,0.025,2,0.3974,0.0099,1,150.98
25,0.2,2,0.3974,0.0795,1,150.98
30,0.0769,2,0.4769,0.0367,1,125.82
22,0.0909,2,0.3497,0.0318,1,171.57
30,0.025,2,0.4769,0.0119,1,125.82
50,0.025,3,0.7948,0.0199,2,75.49
100,0.1,3,1.5896,0.159,2,37.75
60,0.0455,3,0.9538,0.0434,2,62.91
22,0.4,2,0.3497,0.1399,1,171.57
22,0.0455,3,0.3497,0.0159,2,171.57
100,0.025,3,1.5896,0.0397,2,37.75
50,0.125,3,0.7948,0.0994,2,75.49
7,0.0909,2,0.1113,0.0101,1,539.22
60,0.025,3,0.9538,0.0238,2,62.91
30,0.0909,2,0.4769,0.0434,1,125.82
4,0.025,2,0.0636,0.0016,1,943.63
30,0.025,3,0.4769,0.0119,2,125.82
30,0.1,2,0.4769,0.0477,1,125.82
22,0.2222,2,0.3497,0.0777,1,171.57
7,1.0,2,0.1113,0.1113,1,539.22
7,0.3333,2,0.1113,0.0371,1,539.22
25,0.025,3,0.3974,0.0099,2,150.98
22,0.1,2,0.3497,0.035,1,171.57
22,0.0833,2,0.3497,0.0291,1,171.57
7,0.1,2,0.1113,0.0111,1,539.22
120,0.025,3,1.9075,0.0477,2,31.45
22,0.2727,2,0.3497,0.0954,1,171.57
50,0.0769,3,0.7948,0.0611,2,75.49
22,0.0769,2,0.3497,0.0269,1,171.57
25,0.05,3,0.3974,0.0199,2,150.98
22,0.1,3,0.3497,0.035,2,171.57
50,0.2,3,0.7948,0.159,2,75.49
22,0.5,2,0.3497,0.1749,1,171.57
50,1.0,3,0.7948,0.7948,2,75.49
22,1.0,2,0.3497,0.3497,1,171.57
60,0.025,5,0.9538,0.0238,4,62.91
